price,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date
175000,3,1,60,New York,12022,1176,
425000,3,2,2.02,New York,12521,1600,44524
419000,3,3,1.9,New York,12516,1800,
365000,3,2,2,New York,12517,1482,
374900,3,2,2.9,New York,12529,1404,38708
375000,3,2,1.2,New York,12546,1350,43343
489900,3,2,10,New York,12017,1152,36864
125000,3,2,1,New York,12090,980,
435000,3,2,5.01,New York,12060,2504,44144
299900,3,1,0.32,New York,12130,1608,
299900,3,1,0.32,New York,12106,1608,
61900,3,2,0.2,New York,12090,1344,
759000,3,1,73,New York,12513,1800,
759000,3,1,73.04,New York,12513,1800,
123000,3,1,1.45,New York,12168,1386,
92500,3,2,1,New York,12028,1056,
439000,3,2,1.85,New York,12517,1657,
245000,3,2,0.49,New York,12958,1302,
245000,3,2,0.49,New York,12017,1302,
790000,3,2,4.25,New York,12517,1512,36195
289000,3,3,2.34,New York,12029,2000,
369900,3,2,0.65,New York,12029,1600,43958
598500,3,3,4,New York,12516,2240,
159000,3,1,0.38,New York,12546,1656,40028
910000,3,3,288.92,New York,12057,7834,
698000,3,2,5.03,New York,12075,1735,
159900,3,2,0.23,New York,12090,2400,39980
49000,3,1,0.39,New York,12090,1161,
299000,3,2,1.1,New York,12075,1748,
899000,3,2,1.9,New York,12018,5254,
169000,3,1,0.14,New York,12184,2313,38678
265000,3,2,0.53,New York,12125,2250,37384
164900,3,1,1,New York,12169,1845,39191
479000,3,3,1.87,New York,12018,4622,
675000,3,3,2.5,New York,12018,3600,37190
1495000,3,3,24.06,New York,12502,3228,41936
495000,3,2,40,New York,12138,4034,
424000,3,2,48.96,New York,12168,1585,
495000,3,2,0.21,New York,12529,1167,
149900,3,2,0.23,New York,12018,2694,39757
245000,3,2,0.39,New York,12123,1400,42361
590000,3,3,7.54,New York,12529,2450,43748
495000,3,,70,New York,12503,2200,
205000,3,2,0.36,New York,12018,1592,
290000,3,2,0.24,New York,12075,1713,
299000,3,3,3,New York,12546,1768,
349900,3,3,19.1,New York,12168,2864,
350000,3,3,0.15,New York,12546,1802,34779
225700,3,2,0.81,New York,12513,2104,
349900,3,2,1.25,New York,12196,2000,
425000,3,4,0.91,New York,12075,2120,44627
365000,3,2,1,New York,12546,2710,43488
239900,3,2,0.25,New York,12037,1412,38518
548000,3,2,2.9,New York,12062,2780,36216
399000,3,2,3.79,New York,12521,1560,42213
129000,3,1,0.14,New York,12090,2926,35318
395000,3,2,5,New York,12136,2042,44235
495000,3,2,0.18,New York,12516,1080,
220000,3,2,1.57,New York,12123,1831,
350000,3,2,18.7,New York,12184,1102,
589900,3,2,0.33,New York,12018,1271,42858
725000,3,4,5.38,New York,12125,2599,
649000,3,2,0.79,New York,12037,1512,
398715,3,2,0.25,New York,12018,1602,
259000,3,4,4.04,New York,12125,2574,
549000,3,2,0.25,New York,12534,1890,43840
264900,3,2,4.25,New York,12018,1080,43509
439900,3,2,0.56,New York,12196,3200,43193
435000,3,2,12,New York,12184,,
399000,3,1,47.73,New York,12029,,
497500,3,1,17.32,New York,12521,1400,
220000,3,2,1.94,New York,12125,2824,
189000,3,1,0.59,New York,12062,1360,
279900,3,3,0.37,New York,12018,2073,38511
995000,3,3,0.09,New York,12521,1320,43889
99900,3,1,0.24,New York,12125,1872,
219000,3,2,8.58,New York,12037,1352,
199000,3,2,0.24,New York,12090,1800,44288
199000,3,2,0.99,New York,12090,2056,
449900,3,2,8.96,New York,12140,2777,
549000,3,3,3.4,New York,12037,2669,41866
629000,3,3,1.5,New York,12184,2126,43235
149900,3,1,0.36,New York,12123,1218,42466
389000,3,3,0.37,New York,12184,1880,42248
350000,3,3,1.22,New York,12063,2400,
89900,3,2,0.08,New York,12090,2099,
712000,3,2,4.02,New York,12075,1762,
712000,3,2,4.02,New York,12075,1762,
1200000,3,1,75,New York,12546,1600,37026
354900,3,3,5.06,New York,12062,2224,42746
279900,3,2,1.13,New York,12061,1984,
750000,3,3,4.9,New York,12516,1708,
345000,3,2,0.32,New York,12037,1126,43998
100000,3,2,3.49,New York,12018,1518,
349900,3,2,0.61,New York,12018,1680,43532
549900,3,2,2.02,New York,12018,1787,
169500,3,2,1.7,New York,12062,1160,37655
164900,3,2,0.77,New York,12090,1456,43333
64900,3,1,3.5,New York,12018,1226,38944
349900,3,2,3.9,New York,12029,2100,43791
410000,3,3,2.16,New York,12018,2159,
325000,3,2,7.78,New York,12136,1321,42186
475000,3,2,0.64,New York,12516,1092,39286
299900,3,2,0.07,New York,12565,2024,
105000,3,1,0.34,New York,12565,1480,
349900,3,2,1.2,New York,12196,1104,39995
450000,3,2,0.26,New York,12516,1500,36144
99900,3,1,0.24,New York,12125,3048,
215000,3,2,0.39,New York,12125,976,42010
269900,3,1,0.86,New York,12534,1047,
288000,3,3,0.25,New York,12018,1716,41430
249900,3,2,4.81,New York,12022,1478,
149900,3,2,2.63,New York,12094,1334,
499000,3,3,5.1,New York,12060,1800,
39900,3,1,6680,New York,12090,1300,
365000,3,1,0.14,New York,12516,1008,36609
230000,3,2,0.35,New York,12052,1216,42702
185000,3,1,1,New York,12018,1350,35788
429900,3,3,0.22,New York,12018,1965,
419900,3,2,0.25,New York,12018,1602,
139700,3,1,0.51,New York,12140,1307,35383
159900,3,2,0.17,New York,12033,2548,
359000,3,2,0.7,New York,12057,2075,
419000,3,2,2.7,New York,12184,1900,42913
349900,3,2,1,New York,12037,2160,43802
349900,3,2,1,New York,12037,2160,
150000,3,1,0.34,New York,12123,832,39636
1200000,3,4,8.64,New York,12136,2600,43733
449900,3,3,1.14,New York,12592,2516,35640
394000,3,2,0.57,New York,12545,1440,44026
372000,3,2,0.87,New York,12501,1596,42264
395000,3,2,2.9,New York,12522,2265,41318
595000,3,2,10.9,New York,12514,1630,43885
259000,3,2,2.03,New York,12581,,43433
685000,3,5,6.2,New York,12594,3606,38125
570000,3,2,18.89,New York,12502,1965,
795000,3,2,7.57,New York,12501,2196,
329000,3,1,2.3,New York,12567,1500,32322
340000,3,3,1.54,New York,12522,1646,41274
315000,3,2,3.85,New York,12571,1120,42670
289000,3,2,0.6,New York,12501,1720,41102
899900,3,2,67,New York,12581,1890,34591
150000,3,2,1.57,New York,12581,1627,43789
